Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,10-06-2013,tot:,18-12-2020,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D2737,001,,157642,433072,514,10-06-2013,10-06-2013,18-12-2020,509,-6,-334,-434


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D2737,001,23-10-2013,137,143,372,,,,,,
B39D2737,001,24-10-2013,136,142,373,,,,,,
B39D2737,001,25-10-2013,136,142,373,,,,,,
B39D2737,001,26-10-2013,133,139,376,,,,,,
B39D2737,001,27-10-2013,131,137,378,,,,,,
B39D2737,001,28-10-2013,132,138,377,,,,,,
B39D2737,001,29-10-2013,132,138,377,,,,,,
B39D2737,001,30-10-2013,131,137,378,,,,,,
B39D2737,001,31-10-2013,128,134,381,,,,,,
B39D2737,001,01-11-2013,126,132,383,,,,,,
B39D2737,001,02-11-2013,127,133,382,,,,,,
B39D2737,001,03-11-2013,128,134,381,,,,,,
B39D2737,001,04-11-2013,129,135,380,,,,,,
B39D2737,001,05-11-2013,124,130,385,,,,,,
B39D2737,001,06-11-2013,123,129,386,,,,,,
B39D2737,001,07-11-2013,118,124,391,,,,,,
B39D2737,001,08-11-2013,110,116,399,,,,,,
B39D2737,001,09-11-2013,103,109,406,,,,,,
B39D2737,001,10-11-2013,97,103,412,,,,,,
B39D2737,001,11-11-2013,90,96,419,,,,,,
