Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,28-05-1986,tot:,31-12-2019,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,25-03-1986,01-03-1998,511,62,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,01-03-1998,13-04-2015,516,67,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,13-04-2015,31-12-2019,464,15,-164,-356


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D0221,001,13-05-1996,226,164,285,,,,,,
B39D0221,001,28-05-1996,219,157,292,,,,,,
B39D0221,001,13-06-1996,215,153,296,,,,,,
B39D0221,001,27-06-1996,220,158,291,,,,,,
B39D0221,001,15-07-1996,212,150,299,,,,,,
B39D0221,001,14-08-1996,212,150,299,,,,,,
B39D0221,001,30-09-1996,230,168,281,,,,,,
B39D0221,001,15-10-1996,230,168,281,,,,,,
B39D0221,001,29-10-1996,220,158,291,,,,,,
B39D0221,001,15-11-1996,188,126,323,,,,,,
B39D0221,001,28-11-1996,173,111,338,,,,,,
B39D0221,001,12-12-1996,173,111,338,,,,,,
B39D0221,001,13-01-1997,217,155,294,,,,,,
B39D0221,001,28-01-1997,223,161,288,,,,,,
B39D0221,001,13-02-1997,205,143,306,,,,,,
B39D0221,001,28-02-1997,179,117,332,,,,,,
B39D0221,001,13-03-1997,192,130,319,,,,,,
B39D0221,001,28-03-1997,193,131,318,,,,,,
B39D0221,001,14-04-1997,202,140,309,,,,,,
B39D0221,001,28-04-1997,211,149,300,,,,,,
B39D0221,001,14-05-1997,198,136,313,,,,,,
B39D0221,001,28-05-1997,196,134,315,,,,,,
B39D0221,001,26-06-1997,200,138,311,,,,,,
