Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:11:14
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb003-1,001,HBpb003-1,169967.06,433090.67,730,,792,471,394,294,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb003-1,001,2021/09/30 01:58:00,477,
HBpb003-1,001,2021/09/30 02:58:00,477,
HBpb003-1,001,2021/09/30 03:58:00,477,
HBpb003-1,001,2021/09/30 04:58:00,477,
HBpb003-1,001,2021/09/30 05:58:00,477,
HBpb003-1,001,2021/09/30 06:58:00,477,
HBpb003-1,001,2021/09/30 07:58:00,477,
HBpb003-1,001,2021/09/30 08:58:00,477,
HBpb003-1,001,2021/09/30 09:58:00,477,
HBpb003-1,001,2021/09/30 10:58:00,477,
HBpb003-1,001,2021/09/30 11:58:00,477,
HBpb003-1,001,2021/09/30 12:58:00,477,
HBpb003-1,001,2021/09/30 13:58:00,477,
HBpb003-1,001,2021/09/30 14:58:00,477,
HBpb003-1,001,2021/09/30 15:58:00,477,
HBpb003-1,001,2021/09/30 16:58:00,477,
HBpb003-1,001,2021/09/30 17:58:00,477,
HBpb003-1,001,2021/09/30 18:58:00,477,
HBpb003-1,001,2021/09/30 19:58:00,477,
HBpb003-1,001,2021/09/30 20:58:00,477,
HBpb003-1,001,2021/09/30 21:58:00,477,
HBpb003-1,001,2021/09/30 23:58:00,477,
HBpb003-1,001,2021/10/01 00:58:00,477,
HBpb003-1,001,2021/10/01 01:58:00,477,
HBpb003-1,001,2021/10/01 02:58:00,477,
HBpb003-1,001,2021/10/01 03:58:00,477,
HBpb003-1,001,2021/10/01 04:58:00,477,
HBpb003-1,001,2021/10/01 05:58:00,477,
HBpb003-1,001,2021/10/01 06:58:00,477,
HBpb003-1,001,2021/10/01 07:58:00,477,
HBpb003-1,001,2021/10/01 08:58:00,477,
HBpb003-1,001,2021/10/01 09:58:00,476,
HBpb003-1,001,2021/10/01 10:58:00,476,
HBpb003-1,001,2021/10/01 11:58:00,477,
HBpb003-1,001,2021/10/01 12:58:00,477,
HBpb003-1,001,2021/10/01 13:58:00,476,
HBpb003-1,001,2021/10/01 14:58:00,476,
HBpb003-1,001,2021/10/01 15:58:00,476,
