Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,25-10-2023,,,,,,,,
Gegevens beschikbaar:,14-06-1950,tot:,28-08-2000,,,,,,,,
Datum: ,25-10-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39G0027,001,39GB0027,169990,433280,817,04-01-1946,04-01-1946,14-10-1969,817,0,67,-1483
B39G0027,001,39GB0027,169990,433280,817,04-01-1946,14-10-1969,14-09-2000,831,14,67,-1483


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39G0027,001,14-12-1976,270,256,561,,,,,,
B39G0027,001,28-04-1977,186,172,645,,,,,,
B39G0027,001,29-08-1977,180,166,651,,,,,,
B39G0027,001,14-10-1977,258,244,573,,,,,,
B39G0027,001,14-12-1977,198,184,633,,,,,,
B39G0027,001,28-04-1978,268,254,563,,,,,,
B39G0027,001,28-08-1978,240,226,591,,,,,,
B39G0027,001,13-10-1978,233,219,598,,,,,,
B39G0027,001,14-12-1978,297,283,534,,,,,,
B39G0027,001,27-04-1979,159,145,672,,,,,,
B39G0027,001,28-08-1979,227,213,604,,,,,,
B39G0027,001,30-10-1979,256,242,575,,,,,,
B39G0027,001,14-12-1979,160,146,671,,,,,,
B39G0027,001,28-04-1980,200,186,631,,,,,,
B39G0027,001,28-08-1980,192,178,639,,,,,,
B39G0027,001,14-10-1980,248,234,583,,,,,,
B39G0027,001,15-12-1980,217,203,614,,,,,,
B39G0027,001,28-04-1981,183,169,648,,,,,,
B39G0027,001,28-08-1981,215,201,616,,,,,,
B39G0027,001,14-10-1981,187,173,644,,,,,,
B39G0027,001,14-12-1981,111,97,720,,,,,,
B39G0027,001,28-04-1982,209,195,622,,,,,,
B39G0027,001,27-08-1982,216,202,615,,,,,,
B39G0027,001,14-10-1982,207,193,624,,,,,,
B39G0027,001,14-12-1982,77,63,754,,,,,,
B39G0027,001,28-04-1983,142,128,689,,,,,,
B39G0027,001,29-08-1983,231,217,600,,,,,,
B39G0027,001,14-10-1983,254,240,577,,,,,,
B39G0027,001,14-12-1983,238,224,593,,,,,,
B39G0027,001,27-04-1984,167,153,664,,,,,,
B39G0027,001,28-08-1984,241,227,590,,,,,,
B39G0027,001,15-10-1984,59,45,772,,,,,,
B39G0027,001,14-12-1984,237,223,594,,,,,,
B39G0027,001,29-04-1985,189,175,642,,,,,,
B39G0027,001,28-08-1985,228,214,603,,,,,,
B39G0027,001,14-10-1985,277,263,554,,,,,,
B39G0027,001,13-12-1985,275,261,556,,,,,,
B39G0027,001,28-04-1986,142,128,689,,,,,,
B39G0027,001,28-08-1986,268,254,563,,,,,,
B39G0027,001,14-10-1986,281,267,550,,,,,,
B39G0027,001,15-12-1986,228,214,603,,,,,,
B39G0027,001,28-04-1987,187,173,644,,,,,,
B39G0027,001,28-08-1987,193,179,638,,,,,,
B39G0027,001,14-10-1987,214,200,617,,,,,,
B39G0027,001,14-12-1987,217,203,614,,,,,,
B39G0027,001,28-04-1988,153,139,678,,,,,,
B39G0027,001,29-08-1988,244,230,587,,,,,,
B39G0027,001,14-10-1988,216,202,615,,,,,,
B39G0027,001,14-12-1988,155,141,676,,,,,,
B39G0027,001,28-04-1989,144,130,687,,,,,,
B39G0027,001,14-09-1989,276,262,555,,,,,,
B39G0027,001,13-10-1989,291,277,540,,,,,,
B39G0027,001,14-12-1989,325,311,506,,,,,,
B39G0027,001,27-04-1990,233,219,598,,,,,,
B39G0027,001,28-08-1990,286,272,545,,,,,,
B39G0027,001,15-10-1990,274,260,557,,,,,,
B39G0027,001,14-12-1990,214,200,617,,,,,,
B39G0027,001,26-04-1991,261,247,570,,,,,,
B39G0027,001,28-08-1991,292,278,539,,,,,,
B39G0027,001,14-10-1991,297,283,534,,,,,,
B39G0027,001,13-12-1991,275,261,556,,,,,,
B39G0027,001,28-04-1992,198,184,633,,,,,,
