Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-25/10/2023
Datum: 25/10/2023
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0045,001,39HB0045,170700,433690,760,,750,10,-1615,1946/01/16,1969/08/28
B39H0045,001,39HB0045,170700,433690,760,,757,10,-1615,1969/08/28,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0045,001,1992/08/28 00:00:00,344,
B39H0045,001,1992/10/12 00:00:00,394,
B39H0045,001,1992/12/14 00:00:00,95,
B39H0045,001,1993/04/28 00:00:00,298,
B39H0045,001,1993/08/27 00:00:00,307,
B39H0045,001,1993/10/14 00:00:00,207,
B39H0045,001,1993/12/14 00:00:00,236,
B39H0045,001,1994/04/28 00:00:00,177,
B39H0045,001,1994/08/29 00:00:00,318,
B39H0045,001,1994/10/14 00:00:00,299,
B39H0045,001,1994/12/14 00:00:00,261,
B39H0045,001,1995/04/27 00:00:00,158,
B39H0045,001,1995/09/11 00:00:00,277,
B39H0045,001,1995/10/16 00:00:00,293,
B39H0045,001,1995/12/14 00:00:00,344,
B39H0045,001,1996/04/26 00:00:00,346,
B39H0045,001,1996/08/27 00:00:00,312,
B39H0045,001,1996/10/14 00:00:00,346,
B39H0045,001,1996/12/13 00:00:00,194,
B39H0045,001,1997/04/28 00:00:00,313,
B39H0045,001,1997/08/28 00:00:00,299,
B39H0045,001,1997/10/14 00:00:00,381,
B39H0045,001,1997/12/15 00:00:00,500,
B39H0045,001,1998/04/27 00:00:00,229,
B39H0045,001,1998/08/26 00:00:00,372,
B39H0045,001,1998/10/13 00:00:00,255,
B39H0045,001,1998/12/14 00:00:00,236,
B39H0045,001,1999/04/28 00:00:00,158,
B39H0045,001,1999/08/30 00:00:00,285,
B39H0045,001,1999/10/13 00:00:00,299,
B39H0045,001,1999/12/13 00:00:00,285,
B39H0045,001,2000/04/27 00:00:00,252,
B39H0045,001,2000/08/28 00:00:00,229,
