Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-25/10/2023
Datum: 25/10/2023
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0048,001,39HB0048,170300,433700,964,,964,-36,-1436,1945/12/01,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0048,001,1957/09/28 00:00:00,318,
B39H0048,001,1957/10/14 00:00:00,375,
B39H0048,001,1957/10/28 00:00:00,412,
B39H0048,001,1957/11/14 00:00:00,360,
B39H0048,001,1957/11/28 00:00:00,470,
B39H0048,001,1957/12/14 00:00:00,453,
B39H0048,001,1957/12/30 00:00:00,468,
B39H0048,001,1958/01/14 00:00:00,285,
B39H0048,001,1958/01/28 00:00:00,343,
B39H0048,001,1958/02/14 00:00:00,205,
B39H0048,001,1958/02/28 00:00:00,181,
B39H0048,001,1958/03/14 00:00:00,272,
B39H0048,001,1958/03/28 00:00:00,330,
B39H0048,001,1958/04/14 00:00:00,381,
B39H0048,001,1958/04/28 00:00:00,372,
B39H0048,001,1958/05/14 00:00:00,294,
B39H0048,001,1958/05/28 00:00:00,305,
B39H0048,001,1958/06/14 00:00:00,353,
B39H0048,001,1958/06/28 00:00:00,307,
B39H0048,001,1958/07/14 00:00:00,333,
B39H0048,001,1958/07/28 00:00:00,380,
B39H0048,001,1958/08/28 00:00:00,347,
B39H0048,001,1958/09/15 00:00:00,419,
B39H0048,001,1958/09/30 00:00:00,410,
B39H0048,001,1958/10/14 00:00:00,435,
B39H0048,001,1958/10/28 00:00:00,347,
B39H0048,001,1958/11/14 00:00:00,355,
B39H0048,001,1958/11/28 00:00:00,410,
B39H0048,001,1958/12/15 00:00:00,435,
B39H0048,001,1958/12/30 00:00:00,344,
B39H0048,001,1959/01/14 00:00:00,290,
B39H0048,001,1959/01/28 00:00:00,283,
B39H0048,001,1959/02/14 00:00:00,295,
B39H0048,001,1959/02/28 00:00:00,344,
B39H0048,001,1959/03/14 00:00:00,395,
B39H0048,001,1959/03/28 00:00:00,420,
B39H0048,001,1959/04/14 00:00:00,436,
B39H0048,001,1959/04/28 00:00:00,413,
B39H0048,001,1959/05/14 00:00:00,405,
B39H0048,001,1959/05/28 00:00:00,430,
B39H0048,001,1959/06/15 00:00:00,455,
B39H0048,001,1959/06/29 00:00:00,459,
B39H0048,001,1959/07/16 00:00:00,455,
B39H0048,001,1959/07/28 00:00:00,445,
B39H0048,001,1959/08/17 00:00:00,476,
B39H0048,001,1959/08/28 00:00:00,470,
B39H0048,001,1959/09/14 00:00:00,498,
B39H0048,001,1959/09/30 00:00:00,525,
B39H0048,001,1959/10/14 00:00:00,543,
B39H0048,001,1959/10/28 00:00:00,548,
B39H0048,001,1959/11/16 00:00:00,540,
B39H0048,001,1959/11/28 00:00:00,535,
B39H0048,001,1959/12/15 00:00:00,545,
B39H0048,001,1959/12/29 00:00:00,553,
B39H0048,001,1960/01/14 00:00:00,447,
B39H0048,001,1960/01/29 00:00:00,463,
B39H0048,001,1960/02/16 00:00:00,495,
B39H0048,001,1960/02/26 00:00:00,510,
B39H0048,001,1960/03/14 00:00:00,380,
B39H0048,001,1960/03/28 00:00:00,480,
B39H0048,001,1960/04/14 00:00:00,398,
B39H0048,001,1960/04/29 00:00:00,480,
B39H0048,001,1960/05/16 00:00:00,489,
B39H0048,001,1960/05/30 00:00:00,436,
B39H0048,001,1960/06/15 00:00:00,423,
B39H0048,001,1960/06/29 00:00:00,443,
B39H0048,001,1960/07/14 00:00:00,412,
B39H0048,001,1960/07/28 00:00:00,373,
B39H0048,001,1960/08/16 00:00:00,323,
B39H0048,001,1960/08/29 00:00:00,330,
B39H0048,001,1960/09/14 00:00:00,328,
B39H0048,001,1960/09/28 00:00:00,338,
B39H0048,001,1960/10/15 00:00:00,318,
B39H0048,001,1960/10/28 00:00:00,298,
B39H0048,001,1960/11/14 00:00:00,292,
B39H0048,001,1960/11/29 00:00:00,300,
B39H0048,001,1960/12/14 00:00:00,328,
B39H0048,001,1960/12/28 00:00:00,348,
B39H0048,001,1961/01/16 00:00:00,295,
B39H0048,001,1961/01/28 00:00:00,460,
B39H0048,001,1961/02/14 00:00:00,225,
B39H0048,001,1961/02/28 00:00:00,323,
B39H0048,001,1961/03/15 00:00:00,373,
B39H0048,001,1961/03/28 00:00:00,425,
B39H0048,001,1961/04/14 00:00:00,383,
B39H0048,001,1961/04/28 00:00:00,370,
B39H0048,001,1961/05/15 00:00:00,320,
B39H0048,001,1961/05/30 00:00:00,377,
B39H0048,001,1961/06/14 00:00:00,290,
B39H0048,001,1961/06/30 00:00:00,340,
B39H0048,001,1961/07/14 00:00:00,370,
B39H0048,001,1961/07/28 00:00:00,370,
B39H0048,001,1961/08/14 00:00:00,405,
B39H0048,001,1961/08/28 00:00:00,354,
B39H0048,001,1961/09/15 00:00:00,425,
B39H0048,001,1961/09/29 00:00:00,455,
B39H0048,001,1961/10/17 00:00:00,470,
B39H0048,001,1961/10/27 00:00:00,460,
B39H0048,001,1961/11/14 00:00:00,441,
B39H0048,001,1961/11/28 00:00:00,463,
B39H0048,001,1961/12/15 00:00:00,340,
B39H0048,001,1961/12/28 00:00:00,330,
B39H0048,001,1962/01/15 00:00:00,366,
B39H0048,001,1962/01/29 00:00:00,299,
B39H0048,001,1962/02/14 00:00:00,312,
B39H0048,001,1962/02/28 00:00:00,305,
B39H0048,001,1962/03/14 00:00:00,344,
B39H0048,001,1962/04/03 00:00:00,290,
B39H0048,001,1962/04/16 00:00:00,290,
B39H0048,001,1962/04/27 00:00:00,332,
B39H0048,001,1962/05/14 00:00:00,358,
B39H0048,001,1962/05/30 00:00:00,330,
B39H0048,001,1962/06/14 00:00:00,395,
B39H0048,001,1962/07/03 00:00:00,412,
B39H0048,001,1962/07/13 00:00:00,427,
B39H0048,001,1962/07/30 00:00:00,469,
B39H0048,001,1962/08/16 00:00:00,488,
B39H0048,001,1962/08/28 00:00:00,443,
B39H0048,001,1962/09/14 00:00:00,490,
B39H0048,001,1962/09/28 00:00:00,492,
B39H0048,001,1962/10/15 00:00:00,504,
B39H0048,001,1962/10/30 00:00:00,520,
B39H0048,001,1962/11/14 00:00:00,535,
B39H0048,001,1962/11/28 00:00:00,550,
B39H0048,001,1962/12/14 00:00:00,540,
B39H0048,001,1962/12/28 00:00:00,520,
B39H0048,001,1963/01/14 00:00:00,540,
B39H0048,001,1963/01/28 00:00:00,460,
B39H0048,001,1963/03/18 00:00:00,380,
B39H0048,001,1963/03/29 00:00:00,480,
B39H0048,001,1963/04/16 00:00:00,380,
B39H0048,001,1963/04/29 00:00:00,415,
B39H0048,001,1963/05/16 00:00:00,415,
B39H0048,001,1963/05/28 00:00:00,410,
B39H0048,001,1963/06/14 00:00:00,390,
B39H0048,001,1963/06/28 00:00:00,390,
B39H0048,001,1963/07/15 00:00:00,392,
B39H0048,001,1963/08/14 00:00:00,454,
B39H0048,001,1963/08/28 00:00:00,410,
B39H0048,001,1963/09/13 00:00:00,422,
B39H0048,001,1963/09/27 00:00:00,447,
B39H0048,001,1963/10/14 00:00:00,456,
B39H0048,001,1963/10/28 00:00:00,464,
B39H0048,001,1963/11/14 00:00:00,454,
B39H0048,001,1963/11/28 00:00:00,290,
B39H0048,001,1963/12/14 00:00:00,411,
B39H0048,001,1963/12/31 00:00:00,465,
B39H0048,001,1964/01/14 00:00:00,495,
B39H0048,001,1964/01/29 00:00:00,532,
B39H0048,001,1964/02/14 00:00:00,477,
B39H0048,001,1964/03/04 00:00:00,471,
B39H0048,001,1964/03/25 00:00:00,466,
B39H0048,001,1964/03/26 00:00:00,457,
B39H0048,001,1964/04/14 00:00:00,354,
B39H0048,001,1964/04/28 00:00:00,438,
B39H0048,001,1964/05/14 00:00:00,395,
B39H0048,001,1964/05/28 00:00:00,345,
B39H0048,001,1964/06/16 00:00:00,425,
B39H0048,001,1964/06/29 00:00:00,479,
B39H0048,001,1964/07/15 00:00:00,505,
B39H0048,001,1964/07/30 00:00:00,565,
B39H0048,001,1964/08/19 00:00:00,518,
B39H0048,001,1964/08/28 00:00:00,523,
B39H0048,001,1964/09/14 00:00:00,538,
B39H0048,001,1964/09/29 00:00:00,567,
B39H0048,001,1964/10/14 00:00:00,532,
B39H0048,001,1964/10/28 00:00:00,503,
B39H0048,001,1964/11/13 00:00:00,512,
B39H0048,001,1964/11/27 00:00:00,420,
B39H0048,001,1964/12/14 00:00:00,470,
B39H0048,001,1964/12/28 00:00:00,540,
B39H0048,001,1965/01/14 00:00:00,295,
B39H0048,001,1965/01/28 00:00:00,360,
B39H0048,001,1965/02/15 00:00:00,395,
B39H0048,001,1965/03/01 00:00:00,460,
B39H0048,001,1965/03/15 00:00:00,505,
B39H0048,001,1965/03/29 00:00:00,280,
B39H0048,001,1965/04/14 00:00:00,390,
B39H0048,001,1965/04/28 00:00:00,305,
B39H0048,001,1965/05/14 00:00:00,228,
B39H0048,001,1965/05/28 00:00:00,343,
B39H0048,001,1965/06/14 00:00:00,258,
B39H0048,001,1965/07/14 00:00:00,328,
B39H0048,001,1965/07/28 00:00:00,300,
B39H0048,001,1965/08/13 00:00:00,395,
B39H0048,001,1965/08/27 00:00:00,430,
B39H0048,001,1965/09/14 00:00:00,395,
B39H0048,001,1965/10/14 00:00:00,495,
B39H0048,001,1965/10/28 00:00:00,535,
B39H0048,001,1965/11/15 00:00:00,565,
B39H0048,001,1965/11/29 00:00:00,335,
B39H0048,001,1965/12/14 00:00:00,258,
B39H0048,001,1965/12/28 00:00:00,235,
B39H0048,001,1966/01/14 00:00:00,398,
B39H0048,001,1966/01/28 00:00:00,368,
B39H0048,001,1966/02/14 00:00:00,305,
B39H0048,001,1966/02/28 00:00:00,385,
B39H0048,001,1966/03/14 00:00:00,405,
B39H0048,001,1966/03/28 00:00:00,380,
B39H0048,001,1966/04/18 00:00:00,330,
B39H0048,001,1966/04/29 00:00:00,375,
B39H0048,001,1966/05/20 00:00:00,395,
B39H0048,001,1966/05/27 00:00:00,375,
B39H0048,001,1966/06/15 00:00:00,445,
B39H0048,001,1966/06/28 00:00:00,390,
B39H0048,001,1966/07/14 00:00:00,307,
B39H0048,001,1966/08/02 00:00:00,316,
B39H0048,001,1966/08/16 00:00:00,415,
B39H0048,001,1966/08/29 00:00:00,370,
B39H0048,001,1966/09/14 00:00:00,410,
B39H0048,001,1966/09/29 00:00:00,490,
B39H0048,001,1966/10/14 00:00:00,510,
B39H0048,001,1966/10/28 00:00:00,475,
B39H0048,001,1966/11/16 00:00:00,460,
B39H0048,001,1966/11/29 00:00:00,420,
B39H0048,001,1966/12/14 00:00:00,275,
B39H0048,001,1966/12/29 00:00:00,285,
B39H0048,001,1967/01/16 00:00:00,395,
B39H0048,001,1967/01/31 00:00:00,315,
B39H0048,001,1967/02/15 00:00:00,340,
B39H0048,001,1967/03/15 00:00:00,301,
B39H0048,001,1967/03/29 00:00:00,315,
B39H0048,001,1967/04/14 00:00:00,304,
B39H0048,001,1967/04/28 00:00:00,385,
B39H0048,001,1967/05/18 00:00:00,440,
B39H0048,001,1967/05/29 00:00:00,380,
B39H0048,001,1967/06/15 00:00:00,360,
B39H0048,001,1967/06/28 00:00:00,345,
B39H0048,001,1967/07/14 00:00:00,375,
B39H0048,001,1967/08/04 00:00:00,417,
B39H0048,001,1967/08/14 00:00:00,430,
B39H0048,001,1967/08/28 00:00:00,410,
B39H0048,001,1967/09/14 00:00:00,475,
B39H0048,001,1967/09/29 00:00:00,395,
B39H0048,001,1967/10/13 00:00:00,460,
B39H0048,001,1967/10/30 00:00:00,483,
B39H0048,001,1967/11/14 00:00:00,442,
B39H0048,001,1967/11/28 00:00:00,428,
B39H0048,001,1967/12/14 00:00:00,392,
B39H0048,001,1967/12/28 00:00:00,236,
B39H0048,001,1968/01/16 00:00:00,278,
B39H0048,001,1968/01/29 00:00:00,265,
B39H0048,001,1968/02/15 00:00:00,335,
B39H0048,001,1968/02/29 00:00:00,282,
B39H0048,001,1968/03/14 00:00:00,304,
B39H0048,001,1968/03/29 00:00:00,292,
B39H0048,001,1968/04/16 00:00:00,314,
B39H0048,001,1968/04/29 00:00:00,373,
B39H0048,001,1968/05/14 00:00:00,340,
B39H0048,001,1968/05/28 00:00:00,380,
B39H0048,001,1968/06/14 00:00:00,399,
B39H0048,001,1968/06/28 00:00:00,380,
B39H0048,001,1968/07/15 00:00:00,438,
B39H0048,001,1968/07/29 00:00:00,418,
B39H0048,001,1968/08/14 00:00:00,347,
B39H0048,001,1968/08/28 00:00:00,353,
B39H0048,001,1968/09/13 00:00:00,383,
B39H0048,001,1968/09/27 00:00:00,260,
B39H0048,001,1968/10/14 00:00:00,267,
B39H0048,001,1968/10/28 00:00:00,342,
B39H0048,001,1968/11/14 00:00:00,350,
B39H0048,001,1968/11/28 00:00:00,421,
B39H0048,001,1968/12/13 00:00:00,462,
B39H0048,001,1968/12/27 00:00:00,432,
B39H0048,001,1969/01/14 00:00:00,452,
B39H0048,001,1969/01/28 00:00:00,383,
B39H0048,001,1969/02/14 00:00:00,381,
B39H0048,001,1969/02/28 00:00:00,333,
B39H0048,001,1969/03/14 00:00:00,377,
B39H0048,001,1969/03/28 00:00:00,326,
B39H0048,001,1969/04/14 00:00:00,359,
B39H0048,001,1969/04/28 00:00:00,263,
B39H0048,001,1969/05/14 00:00:00,289,
B39H0048,001,1969/05/28 00:00:00,376,
B39H0048,001,1969/06/13 00:00:00,358,
B39H0048,001,1969/06/27 00:00:00,371,
B39H0048,001,1969/07/14 00:00:00,385,
B39H0048,001,1969/07/28 00:00:00,416,
B39H0048,001,1969/08/14 00:00:00,427,
B39H0048,001,1969/08/28 00:00:00,393,
B39H0048,001,1969/09/15 00:00:00,414,
B39H0048,001,1969/09/29 00:00:00,446,
B39H0048,001,1969/10/14 00:00:00,483,
B39H0048,001,1969/10/28 00:00:00,497,
B39H0048,001,1969/11/14 00:00:00,494,
B39H0048,001,1969/11/28 00:00:00,483,
B39H0048,001,1969/12/15 00:00:00,489,
B39H0048,001,1969/12/29 00:00:00,483,
B39H0048,001,1970/01/14 00:00:00,502,
B39H0048,001,1970/01/28 00:00:00,435,
B39H0048,001,1970/02/13 00:00:00,203,
B39H0048,001,1970/02/27 00:00:00,173,
B39H0048,001,1970/03/13 00:00:00,298,
B39H0048,001,1970/03/26 00:00:00,253,
B39H0048,001,1970/04/14 00:00:00,284,
B39H0048,001,1970/04/28 00:00:00,256,
B39H0048,001,1970/05/14 00:00:00,255,
B39H0048,001,1970/05/28 00:00:00,268,
B39H0048,001,1970/06/15 00:00:00,310,
B39H0048,001,1970/06/29 00:00:00,306,
B39H0048,001,1970/07/14 00:00:00,321,
B39H0048,001,1970/07/28 00:00:00,324,
B39H0048,001,1970/08/14 00:00:00,367,
B39H0048,001,1970/08/28 00:00:00,376,
B39H0048,001,1970/09/16 00:00:00,383,
B39H0048,001,1970/10/14 00:00:00,391,
B39H0048,001,1970/10/28 00:00:00,402,
B39H0048,001,1970/11/13 00:00:00,405,
B39H0048,001,1970/11/27 00:00:00,374,
B39H0048,001,1970/12/14 00:00:00,354,
B39H0048,001,1970/12/28 00:00:00,435,
B39H0048,001,1971/01/14 00:00:00,476,
B39H0048,001,1971/01/28 00:00:00,426,
B39H0048,001,1971/02/15 00:00:00,414,
B39H0048,001,1971/03/15 00:00:00,477,
B39H0048,001,1971/03/29 00:00:00,461,
B39H0048,001,1971/04/14 00:00:00,471,
B39H0048,001,1971/04/28 00:00:00,464,
B39H0048,001,1971/05/14 00:00:00,479,
B39H0048,001,1971/05/28 00:00:00,472,
B39H0048,001,1971/06/14 00:00:00,411,
B39H0048,001,1971/06/28 00:00:00,357,
B39H0048,001,1971/07/14 00:00:00,415,
B39H0048,001,1971/07/28 00:00:00,453,
B39H0048,001,1971/08/13 00:00:00,470,
B39H0048,001,1971/08/27 00:00:00,473,
B39H0048,001,1971/09/14 00:00:00,481,
B39H0048,001,1971/09/28 00:00:00,499,
B39H0048,001,1971/10/14 00:00:00,519,
B39H0048,001,1971/10/28 00:00:00,524,
B39H0048,001,1971/11/15 00:00:00,541,
B39H0048,001,1971/11/29 00:00:00,499,
B39H0048,001,1971/12/14 00:00:00,505,
B39H0048,001,1971/12/28 00:00:00,492,
B39H0048,001,1972/01/14 00:00:00,524,
B39H0048,001,1972/01/28 00:00:00,541,
B39H0048,001,1972/02/14 00:00:00,517,
B39H0048,001,1972/02/28 00:00:00,518,
B39H0048,001,1972/03/14 00:00:00,552,
B39H0048,001,1972/03/28 00:00:00,559,
B39H0048,001,1972/04/14 00:00:00,452,
B39H0048,001,1972/04/28 00:00:00,432,
B39H0048,001,1972/05/15 00:00:00,447,
B39H0048,001,1972/05/29 00:00:00,439,
B39H0048,001,1972/06/15 00:00:00,425,
B39H0048,001,1972/06/28 00:00:00,423,
B39H0048,001,1972/07/14 00:00:00,421,
B39H0048,001,1972/07/28 00:00:00,414,
B39H0048,001,1972/08/14 00:00:00,436,
B39H0048,001,1972/08/28 00:00:00,427,
B39H0048,001,1972/09/14 00:00:00,461,
B39H0048,001,1972/09/28 00:00:00,483,
B39H0048,001,1972/10/13 00:00:00,522,
B39H0048,001,1972/10/27 00:00:00,551,
B39H0048,001,1972/11/14 00:00:00,532,
B39H0048,001,1972/11/28 00:00:00,295,
B39H0048,001,1972/12/14 00:00:00,369,
B39H0048,001,1972/12/28 00:00:00,435,
B39H0048,001,1973/01/15 00:00:00,511,
B39H0048,001,1973/01/29 00:00:00,519,
B39H0048,001,1973/02/14 00:00:00,480,
B39H0048,001,1973/02/28 00:00:00,423,
B39H0048,001,1973/03/14 00:00:00,442,
B39H0048,001,1973/03/28 00:00:00,495,
B39H0048,001,1973/04/13 00:00:00,453,
B39H0048,001,1973/04/27 00:00:00,415,
B39H0048,001,1973/05/14 00:00:00,369,
B39H0048,001,1973/05/28 00:00:00,410,
B39H0048,001,1973/06/28 00:00:00,426,
B39H0048,001,1973/07/13 00:00:00,425,
B39H0048,001,1973/07/27 00:00:00,431,
B39H0048,001,1973/08/14 00:00:00,432,
B39H0048,001,1973/08/28 00:00:00,469,
