well name,X,Y,screen top (m ref),screen bottom (m ref)
total_extracted_volumes_Nijverdal, 226683.50, 486366.85,  0.00,  0.00

date,volume (m3)
2-5-1999 12:00,462026.00
2-6-1999 12:00,385057.00
3-7-1999 12:00,502064.00
3-8-1999 12:00,376295.00
3-9-1999 12:00,358185.00
4-10-1999 12:00,440277.00
4-11-1999 12:00,356355.00
5-12-1999 12:00,409158.00
5-1-2000 12:00,337054.00
5-2-2000 12:00,444523.00
7-3-2000 12:00,348211.00
7-4-2000 12:00,377174.00
8-5-2000 12:00,512644.00
8-6-2000 12:00,378643.00
9-7-2000 12:00,498555.00
9-8-2000 12:00,333849.00
9-9-2000 12:00,474177.00
10-10-2000 12:00,372865.00
10-11-2000 12:00,362808.00
11-12-2000 12:00,455549.00
11-1-2001 12:00,346379.00
11-2-2001 12:00,453077.00
14-3-2001 12:00,399944.00
14-4-2001 12:00,420802.00
15-5-2001 12:00,540370.00
15-6-2001 12:00,425620.00
16-7-2001 12:00,503459.00
16-8-2001 12:00,386034.00
16-9-2001 12:00,502508.00
17-10-2001 12:00,377865.00
17-11-2001 12:00,488769.00
18-12-2001 12:00,428534.00
18-1-2002 12:00,378421.00
18-2-2002 12:00,555601.00
21-3-2002 12:00,495405.00
21-4-2002 12:00,542437.00
22-5-2002 12:00,433621.00
22-6-2002 12:00,412335.00
23-7-2002 12:00,400873.00
23-8-2002 12:00,422534.00
23-9-2002 12:00,504275.00
24-10-2002 12:00,398521.00
24-11-2002 12:00,491272.00
25-12-2002 12:00,442126.00
25-1-2003 12:00,446056.00
25-2-2003 12:00,511927.00
28-3-2003 12:00,419691.00
28-4-2003 12:00,531243.00
29-5-2003 12:00,409157.00
29-6-2003 12:00,486039.00
30-7-2003 12:00,422111.00
30-8-2003 12:00,448736.00
30-9-2003 12:00,545078.00
31-10-2003 12:00,438710.00
1-12-2003 12:00,540612.00
1-1-2004 12:00,421380.00
1-2-2004 12:00,482879.00
3-3-2004 12:00,399096.00
3-4-2004 12:00,436870.00
4-5-2004 12:00,577091.00
4-6-2004 12:00,446266.00
5-7-2004 12:00,544489.00
5-8-2004 12:00,417936.00
5-9-2004 12:00,380442.00
6-10-2004 12:00,591865.00
6-11-2004 12:00,396443.00
7-12-2004 12:00,510390.00
7-1-2005 12:00,395762.00
7-2-2005 12:00,534837.00
10-3-2005 12:00,434667.00
10-4-2005 12:00,558748.00
11-5-2005 12:00,447639.00
11-6-2005 12:00,469994.00
12-7-2005 12:00,583699.00
12-8-2005 12:00,431291.00
12-9-2005 12:00,538402.00
13-10-2005 12:00,442383.00
13-11-2005 12:00,461254.00
14-12-2005 12:00,578723.00
14-1-2006 12:00,420425.00
