Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:10:29
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb001-1,001,HBpb001-1,169904.96,433163.6,714,,778,475,383,283,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb001-1,001,2021/10/02 00:56:00,478,
HBpb001-1,001,2021/10/02 01:56:00,478,
HBpb001-1,001,2021/10/02 02:56:00,478,
HBpb001-1,001,2021/10/02 03:56:00,478,
HBpb001-1,001,2021/10/02 04:56:00,478,
HBpb001-1,001,2021/10/02 05:56:00,478,
HBpb001-1,001,2021/10/02 06:56:00,478,
HBpb001-1,001,2021/10/02 07:56:00,478,
HBpb001-1,001,2021/10/02 08:56:00,478,
HBpb001-1,001,2021/10/02 09:56:00,478,
HBpb001-1,001,2021/10/02 10:56:00,478,
HBpb001-1,001,2021/10/02 11:56:00,478,
HBpb001-1,001,2021/10/02 12:56:00,478,
HBpb001-1,001,2021/10/02 13:56:00,478,
HBpb001-1,001,2021/10/02 14:56:00,478,
HBpb001-1,001,2021/10/02 15:56:00,478,
HBpb001-1,001,2021/10/02 16:56:00,478,
HBpb001-1,001,2021/10/02 17:56:00,478,
HBpb001-1,001,2021/10/02 18:56:00,478,
HBpb001-1,001,2021/10/02 19:56:00,478,
HBpb001-1,001,2021/10/02 20:56:00,478,
HBpb001-1,001,2021/10/02 21:56:00,478,
HBpb001-1,001,2021/10/02 22:56:00,478,
HBpb001-1,001,2021/10/02 23:56:00,478,
HBpb001-1,001,2021/10/03 00:56:00,478,
HBpb001-1,001,2021/10/03 01:56:00,477,
HBpb001-1,001,2021/10/03 02:56:00,477,
HBpb001-1,001,2021/10/03 03:56:00,477,
HBpb001-1,001,2021/10/03 04:56:00,477,
HBpb001-1,001,2021/10/03 05:56:00,477,
HBpb001-1,001,2021/10/03 06:56:00,477,
HBpb001-1,001,2021/10/03 07:56:00,477,
HBpb001-1,001,2021/10/03 08:56:00,477,
HBpb001-1,001,2021/10/03 09:56:00,477,
HBpb001-1,001,2021/10/03 10:56:00,477,
HBpb001-1,001,2021/10/03 11:56:00,478,
HBpb001-1,001,2021/10/03 12:56:00,478,
HBpb001-1,001,2021/10/03 13:56:00,477,
HBpb001-1,001,2021/10/03 14:56:00,477,
HBpb001-1,001,2021/10/03 15:56:00,477,
HBpb001-1,001,2021/10/03 16:56:00,477,
HBpb001-1,001,2021/10/03 17:56:00,477,
HBpb001-1,001,2021/10/03 18:56:00,476,
HBpb001-1,001,2021/10/03 19:56:00,476,
HBpb001-1,001,2021/10/03 20:56:00,476,
HBpb001-1,001,2021/10/03 21:56:00,476,
HBpb001-1,001,2021/10/03 22:56:00,476,
HBpb001-1,001,2021/10/03 23:56:00,476,
HBpb001-1,001,2021/10/04 00:56:00,476,
HBpb001-1,001,2021/10/04 01:56:00,476,
HBpb001-1,001,2021/10/04 02:56:00,476,
HBpb001-1,001,2021/10/04 03:56:00,477,
HBpb001-1,001,2021/10/04 04:56:00,477,
HBpb001-1,001,2021/10/04 05:56:00,476,
HBpb001-1,001,2021/10/04 06:56:00,476,
HBpb001-1,001,2021/10/04 07:56:00,476,
HBpb001-1,001,2021/10/04 08:56:00,476,
HBpb001-1,001,2021/10/04 09:56:00,476,
HBpb001-1,001,2021/10/04 10:56:00,476,
HBpb001-1,001,2021/10/04 11:56:00,476,
HBpb001-1,001,2021/10/04 12:56:00,476,
HBpb001-1,001,2021/10/04 13:56:00,476,
HBpb001-1,001,2021/10/04 14:56:00,476,
HBpb001-1,001,2021/10/04 15:56:00,476,
HBpb001-1,001,2021/10/04 16:56:00,476,
HBpb001-1,001,2021/10/04 17:56:00,476,
HBpb001-1,001,2021/10/04 18:56:00,476,
HBpb001-1,001,2021/10/04 19:56:00,476,
HBpb001-1,001,2021/10/04 20:56:00,476,
HBpb001-1,001,2021/10/04 21:56:00,476,
HBpb001-1,001,2021/10/04 22:56:00,476,
HBpb001-1,001,2021/10/04 23:56:00,476,
HBpb001-1,001,2021/10/05 00:56:00,476,
HBpb001-1,001,2021/10/05 01:56:00,476,
HBpb001-1,001,2021/10/05 02:56:00,476,
HBpb001-1,001,2021/10/05 03:56:00,476,
HBpb001-1,001,2021/10/05 04:56:00,477,
HBpb001-1,001,2021/10/05 05:56:00,477,
HBpb001-1,001,2021/10/05 06:56:00,477,
HBpb001-1,001,2021/10/05 07:56:00,477,
HBpb001-1,001,2021/10/05 08:56:00,477,
HBpb001-1,001,2021/10/05 09:56:00,477,
HBpb001-1,001,2021/10/05 10:56:00,477,
HBpb001-1,001,2021/10/05 11:56:00,477,
HBpb001-1,001,2021/10/05 12:56:00,477,
HBpb001-1,001,2021/10/05 13:56:00,476,
HBpb001-1,001,2021/10/05 14:56:00,476,
HBpb001-1,001,2021/10/05 15:56:00,476,
HBpb001-1,001,2021/10/05 16:56:00,476,
HBpb001-1,001,2021/10/05 17:56:00,476,
HBpb001-1,001,2021/10/05 18:56:00,476,
HBpb001-1,001,2021/10/05 19:56:00,476,
HBpb001-1,001,2021/10/05 20:56:00,476,
HBpb001-1,001,2021/10/05 21:56:00,476,
HBpb001-1,001,2021/10/05 22:56:00,476,
HBpb001-1,001,2021/10/05 23:56:00,476,
HBpb001-1,001,2021/10/06 00:56:00,475,
HBpb001-1,001,2021/10/06 01:56:00,476,
HBpb001-1,001,2021/10/06 02:56:00,476,
HBpb001-1,001,2021/10/06 03:56:00,476,
HBpb001-1,001,2021/10/06 04:56:00,476,
HBpb001-1,001,2021/10/06 05:56:00,476,
HBpb001-1,001,2021/10/06 06:56:00,476,
HBpb001-1,001,2021/10/06 07:56:00,477,
HBpb001-1,001,2021/10/06 08:56:00,477,
HBpb001-1,001,2021/10/06 09:56:00,477,
HBpb001-1,001,2021/10/06 10:56:00,477,
HBpb001-1,001,2021/10/06 11:56:00,478,
HBpb001-1,001,2021/10/06 12:56:00,478,
HBpb001-1,001,2021/10/06 13:56:00,479,
HBpb001-1,001,2021/10/06 14:56:00,480,
HBpb001-1,001,2021/10/06 15:56:00,481,
HBpb001-1,001,2021/10/06 16:56:00,482,
HBpb001-1,001,2021/10/06 17:56:00,484,
HBpb001-1,001,2021/10/06 18:56:00,485,
HBpb001-1,001,2021/10/06 19:56:00,485,
HBpb001-1,001,2021/10/06 20:56:00,486,
HBpb001-1,001,2021/10/06 21:56:00,487,
HBpb001-1,001,2021/10/06 22:56:00,487,
HBpb001-1,001,2021/10/06 23:56:00,488,
HBpb001-1,001,2021/10/07 00:56:00,488,
HBpb001-1,001,2021/10/07 01:56:00,488,
HBpb001-1,001,2021/10/07 02:56:00,488,
HBpb001-1,001,2021/10/07 03:56:00,489,
HBpb001-1,001,2021/10/07 04:56:00,489,
HBpb001-1,001,2021/10/07 05:56:00,489,
HBpb001-1,001,2021/10/07 06:56:00,489,
HBpb001-1,001,2021/10/07 07:56:00,489,
HBpb001-1,001,2021/10/07 08:56:00,489,
HBpb001-1,001,2021/10/07 09:56:00,489,
HBpb001-1,001,2021/10/07 10:56:00,490,
HBpb001-1,001,2021/10/07 11:56:00,490,
HBpb001-1,001,2021/10/07 12:56:00,490,
HBpb001-1,001,2021/10/07 13:56:00,490,
HBpb001-1,001,2021/10/07 14:56:00,490,
HBpb001-1,001,2021/10/07 15:56:00,490,
HBpb001-1,001,2021/10/07 16:56:00,490,
HBpb001-1,001,2021/10/07 17:56:00,490,
HBpb001-1,001,2021/10/07 18:56:00,490,
HBpb001-1,001,2021/10/07 19:56:00,490,
HBpb001-1,001,2021/10/07 20:56:00,490,
HBpb001-1,001,2021/10/07 21:56:00,490,
HBpb001-1,001,2021/10/07 22:56:00,490,
HBpb001-1,001,2021/10/07 23:56:00,490,
HBpb001-1,001,2021/10/08 00:56:00,490,
HBpb001-1,001,2021/10/08 01:56:00,490,
HBpb001-1,001,2021/10/08 02:56:00,490,
HBpb001-1,001,2021/10/08 03:56:00,490,
HBpb001-1,001,2021/10/08 04:56:00,490,
HBpb001-1,001,2021/10/08 05:56:00,489,
HBpb001-1,001,2021/10/08 06:56:00,490,
HBpb001-1,001,2021/10/08 07:56:00,490,
HBpb001-1,001,2021/10/08 08:56:00,489,
HBpb001-1,001,2021/10/08 09:56:00,489,
HBpb001-1,001,2021/10/08 10:56:00,489,
HBpb001-1,001,2021/10/08 11:56:00,489,
HBpb001-1,001,2021/10/08 12:56:00,489,
HBpb001-1,001,2021/10/08 13:56:00,489,
HBpb001-1,001,2021/10/08 14:56:00,489,
HBpb001-1,001,2021/10/08 15:56:00,489,
HBpb001-1,001,2021/10/08 16:56:00,489,
HBpb001-1,001,2021/10/08 17:56:00,489,
HBpb001-1,001,2021/10/08 18:56:00,488,
HBpb001-1,001,2021/10/08 19:56:00,488,
HBpb001-1,001,2021/10/08 20:56:00,488,
HBpb001-1,001,2021/10/08 21:56:00,488,
HBpb001-1,001,2021/10/08 22:56:00,488,
HBpb001-1,001,2021/10/08 23:56:00,488,
HBpb001-1,001,2021/10/09 00:56:00,488,
HBpb001-1,001,2021/10/09 01:56:00,488,
HBpb001-1,001,2021/10/09 02:56:00,488,
